Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
preIncr,name-rev.c,525,+,+,+,++counter == hexsz,12.0,		else if (++counter == hexsz &&,13.0,counter
preIncr,object-name.c,1105,+,+,+,!--idx,8.0,		if (!--idx) {,9.0,idx
preIncr,object-name.c,1462,-,+,+,,6.0,	if (--(cb->remaining) == 0) {,7.0,( cb -> remaining )
preIncr,object.c,409,+,+,+,array->nr = ++nr,14.0,	array->nr = ++nr;,15.0,nr
preIncr,object.c,432,+,-,-,array->nr = ++nr,,,,
preIncr,pack-bitmap.c,2260,-,+,+,,31.0,"	display_progress(tdata->prg, ++tdata->seen);",32.0,tdata -> seen
preIncr,pack-bitmap.c,2275,+,+,+,"display_progress(tdata->prg, ++tdata->seen)",31.0,"	display_progress(tdata->prg, ++tdata->seen);",32.0,tdata -> seen
preIncr,pack-objects.c,517,+,+,+,dheader[--pos],12.0,			dheader[--pos] = 128 | (--ofs & 127);,29.0,ofs
preIncr,pack-objects.c,615,+,+,+,dheader[--pos],12.0,			dheader[--pos] = 128 | (--ofs & 127);,29.0,ofs
preIncr,pack-objects.c,931,+,+,+,objects[--i],37.0,		struct object_entry *e = &objects[--i];,38.0,i
preIncr,pack-objects.c,1085,+,+,+,ofs_header[--i],16.0,				ofs_header[--i] = 128 | (--ofs & 127);,17.0,i
preIncr,pack-objects.c,1210,+,+,+,"display_progress(progress_state, ++written)",37.0,"			display_progress(progress_state, ++written);",38.0,written
preIncr,pack-objects.c,1335,+,+,+,utb.modtime = --last_mtime,19.0,				utb.modtime = --last_mtime;,20.0,last_mtime
preIncr,pack-objects.c,1657,+,+,+,"display_progress(progress_state, ++nr_seen)",35.0,"	display_progress(progress_state, ++nr_seen);",36.0,nr_seen
preIncr,pack-objects.c,1683,-,+,+,,35.0,"	display_progress(progress_state, ++nr_seen);",36.0,nr_seen
preIncr,pack-objects.c,2794,+,+,+,--j > 0,10.0,		while (--j > 0) {,11.0,j
preIncr,pack-objects.c,3340,+,+,+,"display_progress(progress_state, ++nr_seen)",35.0,"	display_progress(progress_state, ++nr_seen);",36.0,nr_seen
preIncr,pack-objects.c,3540,+,+,+,"display_progress(progress_state, ++nr_seen)",35.0,"	display_progress(progress_state, ++nr_seen);",36.0,nr_seen
preIncr,pack-objects.c,4131,+,+,+,line[--len],9.0,			line[--len] = 0;,10.0,len
preIncr,pack-revindex.c,107,+,+,+,"to[--pos[BUCKET_FOR(from, i, bits)]]",7.0,"			to[--pos[BUCKET_FOR(from, i, bits)]] = from[i];",8.0,"pos [ BUCKET_FOR ( from , i , bits ) ]"
preIncr,packed-backend.c,193,+,+,+,!--snapshot->referrers,7.0,	if (!--snapshot->referrers) {,8.0,snapshot -> referrers
preIncr,packed-backend.c,436,+,+,+,++p < end,9.0,	while (++p < end && (p[-1] != '\n' || p[0] == '^')),10.0,p
preIncr,packed-backend.c,452,+,-,-,++p < end,,,,
preIncr,packfile.c,1351,+,+,+,poi_stack[--poi_stack_nr],26.0,		obj_offset = poi_stack[--poi_stack_nr];,27.0,poi_stack_nr
preIncr,packfile.c,1820,+,+,+,i = --delta_stack_nr,7.0,		i = --delta_stack_nr;,8.0,delta_stack_nr
preIncr,parse-options.c,57,+,+,+,*++p->argv,11.0,		*arg = *++p->argv;,12.0,p -> argv
preIncr,path.c,1237,+,-,-,path[--path_len],,,,
preIncr,path.c,1290,+,+,+,path[--path_len],17.0,		else if (path[--path_len] != suffix[--suffix_len]),18.0,path_len
preIncr,path.c,1428,+,-,-,name[++i],,,,
preIncr,path.c,1481,+,+,+,name[++i],13.0,			if (name[++i] < '1' || name[i] > '9'),14.0,i
preIncr,pkt-line.c,409,+,+,+,"return ++path;
",9.0,	return ++path;,10.0,path
preIncr,preload-index.c,90,+,+,+,--nr > 0,11.0,	} while (--nr > 0);,12.0,nr
preIncr,pretty.c,674,+,+,+,*++cp,15.0,		if (!cp || *++cp == '\n'),16.0,cp
preIncr,prio-queue.c,66,+,+,+,queue->array[--queue->nr],23.0,		return queue->array[--queue->nr].data; /* LIFO */,24.0,queue -> nr
preIncr,prio-queue.c,69,+,+,+,!--queue->nr,7.0,	if (!--queue->nr),8.0,queue -> nr
preIncr,progress.c,116,+,+,+,!progress_update || --progress->delay,46.0,	if (progress->delay && (!progress_update || --progress->delay)),47.0,progress -> delay
preIncr,push.c,108,+,+,+,nr <= ++i,14.0,			if (nr <= ++i),15.0,i
preIncr,quote.c,130,+,+,+,*++src,8.0,		c = *++src;,9.0,src
preIncr,quote.c,138,+,+,+,*++src,12.0,		switch (*++src) {,13.0,src
preIncr,quote.c,189,+,+,+,*++next,10.0,				c = *++next;,11.0,next
preIncr,range-diff.c,525,+,+,+,++i < a->nr,13.0,			a_util = ++i < a->nr ? a->items[i].util : NULL;,14.0,i
preIncr,range-diff.c,541,+,+,+,++j < b->nr,13.0,			b_util = ++j < b->nr ? b->items[j].util : NULL;,14.0,j
preIncr,read-cache.c,1062,+,+,+,"remove_index_entry_at(istate, --pos)",33.0,"		remove_index_entry_at(istate, --pos);",34.0,pos
preIncr,read-cache.c,1063,+,-,-,"remove_index_entry_at(istate, --pos)",,,,
preIncr,read-cache.c,1161,+,+,+,*--slash,9.0,			if (*--slash == '/'),10.0,slash
preIncr,read-cache.c,1162,+,-,-,*--slash,,,,
preIncr,ref-cache.c,402,+,+,+,++level->index == level->dir->nr,7.0,		if (++level->index == level->dir->nr) {,8.0,level -> index
preIncr,ref-cache.c,404,+,+,+,--iter->levels_nr == 0,8.0,			if (--iter->levels_nr == 0),9.0,iter -> levels_nr
preIncr,ref-filter.c,2929,+,+,+,++ref_cbdata->internal.count >= ref_cbdata->format->array_opts.max_count,6.0,	    ++ref_cbdata->internal.count >= ref_cbdata->format->array_opts.max_count),7.0,ref_cbdata -> internal . count
preIncr,reflog.c,272,-,+,+,,23.0,	if (cb->cmd.recno && --(cb->cmd.recno) == 0),24.0,( cb -> cmd . recno )
preIncr,refs.c,1431,+,-,-,ref[--len],,,,
preIncr,refs.c,1468,+,+,+,ref[--len],8.0,			ref[--len] = '\0';,9.0,len
preIncr,refspec.c,61,+,+,-,strlen(++rhs),24.0,		size_t rlen = strlen(++rhs);,,
preIncr,regcomp.c,348,-,-,+,,,,16.0,node
preIncr,regcomp.c,369,-,-,+,,,,48.0,ch
preIncr,regcomp.c,417,-,-,+,,,,16.0,c
preIncr,regcomp.c,945,-,-,+,,,,46.0,ch
preIncr,regcomp.c,975,-,-,+,,,,45.0,ch
preIncr,regcomp.c,3567,-,-,+,,,,28.0,i
preIncr,regcomp.c,3573,-,-,+,,,,28.0,i
preIncr,regex_internal.c,746,-,-,+,,,,18.0,i
preIncr,regex_internal.c,1097,-,-,+,,,,19.0,sbase
preIncr,regex_internal.c,1099,-,-,+,,,,9.0,i1
preIncr,regex_internal.c,1106,-,-,+,,,,9.0,i2
